,ArchiveDate,Adult_Child,HospitalName,0-6 Months,6-12 Months,12-18 Months,18 Months +,Total
89,24/02/2022,Adult,Mercy University Hospital,"2,681","1,158",803,"2,538","7,180"
90,24/02/2022,Adult,Midland Regional Hospital Mullingar,"3,847","2,564","1,443","1,174","9,028"
91,24/02/2022,Adult,Midland Regional Hospital Portlaoise,"2,197","1,145",904,"1,283","5,529"
92,24/02/2022,Adult,Midland Regional Hospital Tullamore,"5,935","3,021","1,797","3,007","13,760"
93,24/02/2022,Adult,Naas General Hospital,"4,724","1,970","1,014","2,083","9,791"
94,24/02/2022,Adult,National Orthopaedic Hospital Cappagh,"1,936",448,142,48,"2,574"
95,24/02/2022,Adult,Nenagh Hospital,394,246,239,144,"1,023"
96,24/02/2022,Adult,Our Lady of Lourdes Hospital Drogheda,"5,896","3,448","1,092",479,"10,915"
97,24/02/2022,Adult,Our Lady's Hospital Navan,"2,861","1,347",976,"2,444","7,628"
98,24/02/2022,Adult,Portiuncula University Hospital,"1,811",747,400,918,"3,876"
99,24/02/2022,Adult,Roscommon University Hospital,"2,769","1,295",854,"1,980","6,898"
100,24/02/2022,Adult,Rotunda Hospital,"2,135",629,30,2,"2,796"
101,24/02/2022,Adult,Royal Victoria Eye and Ear Hospital,"4,031","2,602","1,751","6,371","14,755"
102,24/02/2022,Adult,Sligo University Hospital,"6,914","3,688","2,455","4,066","17,123"
103,24/02/2022,Adult,South Infirmary Victoria University Hospital,"8,462","3,709","2,150","6,801","21,122"
104,24/02/2022,Adult,St. Columcille's Hospital,"2,074","1,326",796,"2,035","6,231"
105,24/02/2022,Adult,St. James's Hospital,"13,122","5,188","2,393","3,897","24,600"
106,24/02/2022,Adult,St. John's Hospital Limerick,762,404,262,540,"1,968"
107,24/02/2022,Adult,St. Luke's General Hospital Kilkenny,"2,829",543,90,21,"3,483"
108,24/02/2022,Adult,St. Michael's Hospital,"2,421",547,97,254,"3,319"
109,24/02/2022,Adult,St. Vincent's University Hospital,"14,766","5,328","2,507","2,594","25,195"
110,24/02/2022,Adult,Tallaght University Hospital,"13,222","8,534","4,720","9,975","36,451"
111,24/02/2022,Adult,Tipperary University Hospital,"2,265",893,335,435,"3,928"
112,24/02/2022,Adult,University Hospital Kerry,"4,007","2,597","1,459","1,527","9,590"
113,24/02/2022,Adult,University Hospital Limerick,"12,376","7,637","4,815","16,437","41,265"
114,24/02/2022,Adult,University Hospital Waterford,"13,385","8,285","5,037","10,895","37,602"
115,24/02/2022,Adult,Wexford General Hospital,"2,204",826,151,73,"3,254"
116,24/02/2022,Child,Beaumont Hospital,93,16,2,0,111
117,24/02/2022,Child,Cavan General Hospital,483,89,11,0,583
118,24/02/2022,Child,Children's Health Ireland,"17,330","8,821","4,819","13,484","44,455"
119,24/02/2022,Child,Cork University Hospital,"2,725","1,277",621,"1,104","5,728"
120,24/02/2022,Child,Cork University Maternity Hospital,42,4,0,0,46
121,24/02/2022,Child,Croom Orthopaedic Hospital,138,51,27,28,244
122,24/02/2022,Child,Ennis Hospital,26,6,5,2,40
123,24/02/2022,Child,Galway University Hospitals,"2,639","1,247",598,"1,342","5,826"
124,24/02/2022,Child,Letterkenny University Hospital,887,240,144,909,"2,180"
125,24/02/2022,Child,Mallow General Hospital,81,13,5,5,106
126,24/02/2022,Child,Mayo University Hospital,518,262,143,384,"1,307"
127,24/02/2022,Child,Mercy University Hospital,321,89,16,40,466
128,24/02/2022,Child,Midland Regional Hospital Mullingar,717,263,110,161,"1,251"
129,24/02/2022,Child,Midland Regional Hospital Portlaoise,469,158,123,84,835
130,24/02/2022,Child,Midland Regional Hospital Tullamore,657,362,180,880,"2,078"
131,24/02/2022,Child,National Orthopaedic Hospital Cappagh,139,56,16,5,216
132,24/02/2022,Child,Nenagh Hospital,12,4,5,2,23
133,24/02/2022,Child,Our Lady of Lourdes Hospital Drogheda,"1,542","1,064",293,122,"3,021"
134,24/02/2022,Child,Our Lady's Hospital Navan,2,10,12,16,39
135,24/02/2022,Child,Portiuncula University Hospital,488,41,9,63,601
136,24/02/2022,Child,Rotunda Hospital,35,8,0,0,43
137,24/02/2022,Child,Royal Victoria Eye and Ear Hospital,363,123,101,413,"1,000"
138,24/02/2022,Child,Sligo University Hospital,"1,038",502,281,368,"2,188"
139,24/02/2022,Child,Small Volume Hospitals,11,4,4,0,18
140,24/02/2022,Child,South Infirmary Victoria University Hospital,"1,232",373,110,292,"2,006"
141,24/02/2022,Child,St. Luke's General Hospital Kilkenny,390,39,7,0,435
142,24/02/2022,Child,Tallaght University Hospital,30,9,4,4,47
143,24/02/2022,Child,Tipperary University Hospital,330,133,10,0,474
144,24/02/2022,Child,University Hospital Kerry,457,287,103,368,"1,215"
145,24/02/2022,Child,University Hospital Limerick,"1,651",689,483,"1,830","4,653"
146,24/02/2022,Child,University Hospital Waterford,"1,340",638,399,"1,804","4,181"
147,24/02/2022,Child,Wexford General Hospital,487,54,0,0,541
148,31/03/2022,Adult,Bantry General Hospital,733,356,195,236,"1,520"
149,31/03/2022,Adult,Beaumont Hospital,"18,027","6,237",413,20,"24,698"
150,31/03/2022,Adult,Cavan General Hospital,"3,930","1,935",350,239,"6,455"
151,31/03/2022,Adult,Connolly Hospital Blanchardstown,"4,517",591,31,2,"5,142"
152,31/03/2022,Adult,Coombe Women and Infants University Hospital,"1,088",972,327,381,"2,768"
153,31/03/2022,Adult,Cork University Hospital,"11,912","7,105","4,141","9,741","32,898"
154,31/03/2022,Adult,Cork University Maternity Hospital,"1,788",614,157,29,"2,588"
155,31/03/2022,Adult,Croom Orthopaedic Hospital,"1,711","1,481",905,744,"4,841"
156,31/03/2022,Adult,Ennis Hospital,630,377,116,320,"1,443"
157,31/03/2022,Adult,Galway University Hospitals,"18,061","10,320","6,360","16,472","51,214"
158,31/03/2022,Adult,Letterkenny University Hospital,"7,256","3,159","1,685","4,377","16,478"
159,31/03/2022,Adult,Louth County Hospital,"1,654",651,344,211,"2,861"
160,31/03/2022,Adult,Mallow General Hospital,"1,820",669,417,284,"3,190"
161,31/03/2022,Adult,Mater Misericordiae University Hospital,"20,640","7,369","4,325","8,703","41,037"
162,31/03/2022,Adult,Mayo University Hospital,"4,224","2,945","2,103","3,322","12,594"
163,31/03/2022,Adult,Mercy University Hospital,"2,607","1,202",775,"2,430","7,014"
164,31/03/2022,Adult,Midland Regional Hospital Mullingar,"3,876","2,634","1,600","1,229","9,339"
165,31/03/2022,Adult,Midland Regional Hospital Portlaoise,"2,102","1,278",844,"1,297","5,522"
166,31/03/2022,Adult,Midland Regional Hospital Tullamore,"5,946","3,147","1,829","2,998","13,920"
167,31/03/2022,Adult,Naas General Hospital,"4,723","2,013",972,"2,088","9,796"
168,31/03/2022,Adult,National Orthopaedic Hospital Cappagh,"2,172",459,120,27,"2,778"
169,31/03/2022,Adult,Nenagh Hospital,408,243,138,150,939
170,31/03/2022,Adult,Our Lady of Lourdes Hospital Drogheda,"5,915","3,647","1,152",344,"11,060"
171,31/03/2022,Adult,Our Lady's Hospital Navan,"2,779","1,415",932,"2,435","7,561"
172,31/03/2022,Adult,Portiuncula University Hospital,"1,871",757,361,886,"3,876"
173,31/03/2022,Adult,Roscommon University Hospital,"2,947","1,387",798,"2,008","7,140"
174,31/03/2022,Adult,Rotunda Hospital,"2,156",542,18,2,"2,718"
175,31/03/2022,Adult,Royal Victoria Eye and Ear Hospital,"3,990","2,522","1,871","6,122","14,505"
176,31/03/2022,Adult,Sligo University Hospital,"6,596","3,871","2,277","3,737","16,482"
177,31/03/2022,Adult,South Infirmary Victoria University Hospital,"8,525","3,818","2,164","6,662","21,169"
178,31/03/2022,Adult,St. Columcille's Hospital,"2,165","1,458",811,"2,090","6,525"
179,31/03/2022,Adult,St. James's Hospital,"12,978","5,080","2,407","3,866","24,332"
180,31/03/2022,Adult,St. John's Hospital Limerick,792,397,257,573,"2,019"
181,31/03/2022,Adult,St. Luke's General Hospital Kilkenny,"2,816",568,99,11,"3,495"
182,31/03/2022,Adult,St. Michael's Hospital,"2,357",591,112,221,"3,281"
183,31/03/2022,Adult,St. Vincent's University Hospital,"14,781","5,678","2,227","2,361","25,048"
184,31/03/2022,Adult,Tallaght University Hospital,"13,050","8,720","4,779","9,693","36,243"
185,31/03/2022,Adult,Tipperary University Hospital,"2,214",946,356,395,"3,912"
186,31/03/2022,Adult,University Hospital Kerry,"4,009","2,687","1,272","1,218","9,186"
187,31/03/2022,Adult,University Hospital Limerick,"12,323","7,296","5,083","16,755","41,458"
188,31/03/2022,Adult,University Hospital Waterford,"13,291","8,223","4,536","10,312","36,363"
189,31/03/2022,Adult,Wexford General Hospital,"2,197",779,151,72,"3,200"
190,31/03/2022,Child,Beaumont Hospital,85,22,2,0,109
191,31/03/2022,Child,Cavan General Hospital,508,103,12,0,623
192,31/03/2022,Child,Children's Health Ireland,"17,842","8,995","5,060","12,846","44,742"
193,31/03/2022,Child,Cork University Hospital,"2,750","1,363",588,"1,115","5,816"
194,31/03/2022,Child,Cork University Maternity Hospital,46,11,0,0,57
195,31/03/2022,Child,Croom Orthopaedic Hospital,133,43,31,26,233
196,31/03/2022,Child,Ennis Hospital,26,9,2,4,40
197,31/03/2022,Child,Galway University Hospitals,"2,618","1,316",586,"1,296","5,816"
198,31/03/2022,Child,Letterkenny University Hospital,872,231,152,899,"2,155"
199,31/03/2022,Child,Mallow General Hospital,119,16,5,5,146
200,31/03/2022,Child,Mayo University Hospital,530,227,134,391,"1,281"
201,31/03/2022,Child,Mercy University Hospital,324,95,22,38,480
202,31/03/2022,Child,Midland Regional Hospital Mullingar,722,284,126,154,"1,286"
203,31/03/2022,Child,Midland Regional Hospital Portlaoise,497,184,93,82,857
204,31/03/2022,Child,Midland Regional Hospital Tullamore,679,373,175,777,"2,004"
205,31/03/2022,Child,National Orthopaedic Hospital Cappagh,143,46,29,2,220
206,31/03/2022,Child,Nenagh Hospital,15,4,5,2,26
207,31/03/2022,Child,Our Lady of Lourdes Hospital Drogheda,"1,622","1,141",331,127,"3,222"
208,31/03/2022,Child,Our Lady's Hospital Navan,2,8,13,17,39
209,31/03/2022,Child,Portiuncula University Hospital,526,39,7,60,632
210,31/03/2022,Child,Rotunda Hospital,37,11,0,0,48
211,31/03/2022,Child,Royal Victoria Eye and Ear Hospital,348,133,96,357,934
212,31/03/2022,Child,Sligo University Hospital,"1,006",527,252,330,"2,115"
213,31/03/2022,Child,Small Volume Hospitals,17,5,4,2,28
214,31/03/2022,Child,South Infirmary Victoria University Hospital,"1,283",390,109,279,"2,061"
215,31/03/2022,Child,St. Luke's General Hospital Kilkenny,411,42,2,0,455
216,31/03/2022,Child,Tallaght University Hospital,33,9,4,5,51
217,31/03/2022,Child,Tipperary University Hospital,326,136,20,0,481
218,31/03/2022,Child,University Hospital Kerry,492,282,97,365,"1,235"
219,31/03/2022,Child,University Hospital Limerick,"1,652",652,487,"1,806","4,598"
220,31/03/2022,Child,University Hospital Waterford,"1,391",636,374,"1,668","4,069"
221,31/03/2022,Child,Wexford General Hospital,524,61,0,2,587
222,28/04/2022,Adult,Bantry General Hospital,737,328,170,210,"1,446"
223,28/04/2022,Adult,Beaumont Hospital,"18,929","6,273",446,6,"25,655"
224,28/04/2022,Adult,Cavan General Hospital,"4,041","2,110",388,205,"6,745"
225,28/04/2022,Adult,Connolly Hospital Blanchardstown,"4,578",518,31,8,"5,136"
226,28/04/2022,Adult,Coombe Women and Infants University Hospital,"1,338",984,387,375,"3,084"
227,28/04/2022,Adult,Cork University Hospital,"12,441","6,915","4,019","9,674","33,049"
228,28/04/2022,Adult,Cork University Maternity Hospital,"1,782",625,178,43,"2,628"
229,28/04/2022,Adult,Croom Orthopaedic Hospital,"1,735","1,436",855,699,"4,725"
230,28/04/2022,Adult,Ennis Hospital,629,400,223,418,"1,670"
231,28/04/2022,Adult,Galway University Hospitals,"17,655","10,248","6,361","16,329","50,594"
232,28/04/2022,Adult,Letterkenny University Hospital,"7,264","3,313","1,648","4,270","16,496"
233,28/04/2022,Adult,Louth County Hospital,"1,763",632,366,217,"2,978"
234,28/04/2022,Adult,Mallow General Hospital,"1,879",652,399,274,"3,204"
235,28/04/2022,Adult,Mater Misericordiae University Hospital,"20,803","7,148","4,300","8,717","40,968"
236,28/04/2022,Adult,Mayo University Hospital,"4,063","2,832","2,073","3,238","12,206"
237,28/04/2022,Adult,Mercy University Hospital,"2,652","1,160",705,"2,302","6,820"
238,28/04/2022,Adult,Midland Regional Hospital Mullingar,"3,779","2,716","1,683","1,306","9,484"
239,28/04/2022,Adult,Midland Regional Hospital Portlaoise,"2,143","1,381",829,"1,305","5,659"
240,28/04/2022,Adult,Midland Regional Hospital Tullamore,"5,907","2,965","1,784","2,889","13,545"
241,28/04/2022,Adult,Naas General Hospital,"4,738","2,116",911,"1,788","9,553"
242,28/04/2022,Adult,National Orthopaedic Hospital Cappagh,"2,238",449,90,26,"2,803"
243,28/04/2022,Adult,Nenagh Hospital,429,249,136,108,922
244,28/04/2022,Adult,Our Lady of Lourdes Hospital Drogheda,"6,127","3,780","1,162",148,"11,218"
245,28/04/2022,Adult,Our Lady's Hospital Navan,"2,773","1,460",872,"2,415","7,520"
246,28/04/2022,Adult,Portiuncula University Hospital,"1,971",731,347,803,"3,853"
247,28/04/2022,Adult,Roscommon University Hospital,"2,867","1,306",833,"2,038","7,044"
248,28/04/2022,Adult,Rotunda Hospital,"2,140",451,19,0,"2,610"
249,28/04/2022,Adult,Royal Victoria Eye and Ear Hospital,"3,969","2,612","1,913","6,150","14,644"
250,28/04/2022,Adult,Sligo University Hospital,"6,751","3,736","2,050","3,809","16,347"
251,28/04/2022,Adult,South Infirmary Victoria University Hospital,"8,655","3,953","2,180","6,703","21,491"
252,28/04/2022,Adult,St. Columcille's Hospital,"2,140","1,487",883,"2,180","6,691"
253,28/04/2022,Adult,St. James's Hospital,"13,361","4,949","2,488","3,807","24,606"
254,28/04/2022,Adult,St. John's Hospital Limerick,798,364,237,577,"1,976"
255,28/04/2022,Adult,St. Luke's General Hospital Kilkenny,"2,866",619,77,16,"3,579"
256,28/04/2022,Adult,St. Michael's Hospital,"2,361",592,113,231,"3,297"
257,28/04/2022,Adult,St. Vincent's University Hospital,"14,847","5,678","2,160","2,215","24,901"
258,28/04/2022,Adult,Tallaght University Hospital,"12,850","9,051","4,731","9,669","36,301"
259,28/04/2022,Adult,Tipperary University Hospital,"2,184",924,412,381,"3,901"
260,28/04/2022,Adult,University Hospital Kerry,"4,057","2,426","1,201","1,148","8,833"
261,28/04/2022,Adult,University Hospital Limerick,"12,233","7,028","4,833","16,060","40,155"
262,28/04/2022,Adult,University Hospital Waterford,"13,865","8,188","4,548","9,641","36,243"
263,28/04/2022,Adult,Wexford General Hospital,"2,222",795,164,70,"3,251"
264,28/04/2022,Child,Beaumont Hospital,88,22,2,0,112
265,28/04/2022,Child,Cavan General Hospital,561,107,20,0,688
266,28/04/2022,Child,Children's Health Ireland,"18,393","9,165","5,272","12,088","44,919"
267,28/04/2022,Child,Cork University Hospital,"2,747","1,494",587,"1,128","5,955"
268,28/04/2022,Child,Cork University Maternity Hospital,44,16,0,0,60
269,28/04/2022,Child,Croom Orthopaedic Hospital,134,36,25,34,229
270,28/04/2022,Child,Ennis Hospital,28,6,2,4,40
271,28/04/2022,Child,Galway University Hospitals,"2,607","1,293",614,"1,272","5,786"
272,28/04/2022,Child,Letterkenny University Hospital,881,239,141,899,"2,159"
273,28/04/2022,Child,Mallow General Hospital,129,12,6,6,152
274,28/04/2022,Child,Mayo University Hospital,507,226,142,388,"1,262"
275,28/04/2022,Child,Mercy University Hospital,341,87,27,36,490
276,28/04/2022,Child,Midland Regional Hospital Mullingar,712,314,121,156,"1,303"
277,28/04/2022,Child,Midland Regional Hospital Portlaoise,536,175,84,90,885
278,28/04/2022,Child,Midland Regional Hospital Tullamore,663,333,183,604,"1,783"
279,28/04/2022,Child,National Orthopaedic Hospital Cappagh,191,49,32,5,277
280,28/04/2022,Child,Our Lady of Lourdes Hospital Drogheda,"1,709","1,168",387,151,"3,415"
281,28/04/2022,Child,Our Lady's Hospital Navan,2,9,11,19,40
282,28/04/2022,Child,Portiuncula University Hospital,505,40,10,48,604
283,28/04/2022,Child,Rotunda Hospital,36,11,0,0,47
284,28/04/2022,Child,Royal Victoria Eye and Ear Hospital,357,144,96,356,953
285,28/04/2022,Child,Sligo University Hospital,"1,064",506,237,337,"2,144"
286,28/04/2022,Child,Small Volume Hospitals,28,11,9,4,52
287,28/04/2022,Child,South Infirmary Victoria University Hospital,"1,331",411,103,270,"2,115"
288,28/04/2022,Child,St. Luke's General Hospital Kilkenny,425,31,0,0,456
289,28/04/2022,Child,Tallaght University Hospital,30,9,2,4,45
290,28/04/2022,Child,Tipperary University Hospital,319,150,22,0,491
291,28/04/2022,Child,University Hospital Kerry,519,290,91,350,"1,251"
292,28/04/2022,Child,University Hospital Limerick,"1,747",655,489,"1,780","4,671"
293,28/04/2022,Child,University Hospital Waterford,"1,543",664,347,"1,378","3,933"
294,28/04/2022,Child,Wexford General Hospital,550,72,2,2,625
295,26/05/2022,Adult,Bantry General Hospital,691,337,164,227,"1,418"
296,26/05/2022,Adult,Beaumont Hospital,"19,163","6,388",497,10,"26,057"
297,26/05/2022,Adult,Cavan General Hospital,"4,390","2,192",466,171,"7,218"
298,26/05/2022,Adult,Connolly Hospital Blanchardstown,"4,803",488,29,4,"5,324"
299,26/05/2022,Adult,Coombe Women and Infants University Hospital,"1,634",976,400,345,"3,355"
300,26/05/2022,Adult,Cork University Hospital,"12,460","7,117","3,873","9,688","33,138"
301,26/05/2022,Adult,Cork University Maternity Hospital,"1,867",678,200,48,"2,793"
302,26/05/2022,Adult,Croom Orthopaedic Hospital,"1,742","1,422",780,749,"4,693"
303,26/05/2022,Adult,Ennis Hospital,735,509,286,438,"1,967"
304,26/05/2022,Adult,Galway University Hospitals,"17,579","10,524","5,850","16,195","50,148"
305,26/05/2022,Adult,Letterkenny University Hospital,"7,315","3,400","1,508","4,284","16,507"
306,26/05/2022,Adult,Louth County Hospital,"1,694",663,371,243,"2,971"
307,26/05/2022,Adult,Mallow General Hospital,"2,017",702,384,310,"3,412"
308,26/05/2022,Adult,Mater Misericordiae University Hospital,"21,367","6,937","4,107","8,808","41,219"
309,26/05/2022,Adult,Mayo University Hospital,"4,157","2,866","1,938","3,055","12,016"
310,26/05/2022,Adult,Mercy University Hospital,"2,744","1,133",658,"2,216","6,750"
311,26/05/2022,Adult,Midland Regional Hospital Mullingar,"3,882","2,673","1,621","1,291","9,466"
312,26/05/2022,Adult,Midland Regional Hospital Portlaoise,"2,228","1,438",650,"1,295","5,610"
313,26/05/2022,Adult,Midland Regional Hospital Tullamore,"6,233","3,149","1,646","2,606","13,634"
314,26/05/2022,Adult,Naas General Hospital,"4,882","2,202",930,"1,601","9,615"
315,26/05/2022,Adult,National Orthopaedic Hospital Cappagh,"2,437",443,47,21,"2,948"
316,26/05/2022,Adult,Nenagh Hospital,400,258,115,110,883
317,26/05/2022,Adult,Our Lady of Lourdes Hospital Drogheda,"6,376","3,904","1,194",44,"11,517"
318,26/05/2022,Adult,Our Lady's Hospital Navan,"2,712","1,453",797,"2,452","7,414"
319,26/05/2022,Adult,Portiuncula University Hospital,"1,985",715,375,762,"3,836"
320,26/05/2022,Adult,Roscommon University Hospital,"2,989","1,322",761,"1,907","6,979"
321,26/05/2022,Adult,Rotunda Hospital,"2,302",456,15,0,"2,773"
322,26/05/2022,Adult,Royal Victoria Eye and Ear Hospital,"4,212","2,668","1,927","5,229","14,036"
323,26/05/2022,Adult,Sligo University Hospital,"6,794","3,799","1,915","3,707","16,214"
324,26/05/2022,Adult,South Infirmary Victoria University Hospital,"8,673","4,020","2,184","6,232","21,109"
325,26/05/2022,Adult,St. Columcille's Hospital,"2,342","1,529",869,"2,242","6,982"
326,26/05/2022,Adult,St. James's Hospital,"13,410","4,806","2,388","3,750","24,354"
327,26/05/2022,Adult,St. John's Hospital Limerick,800,351,209,571,"1,931"
328,26/05/2022,Adult,St. Luke's General Hospital Kilkenny,"3,047",633,108,14,"3,802"
329,26/05/2022,Adult,St. Michael's Hospital,"2,507",613,114,224,"3,458"
330,26/05/2022,Adult,St. Vincent's University Hospital,"14,806","5,711","2,003","1,827","24,346"
331,26/05/2022,Adult,Tallaght University Hospital,"12,645","9,329","4,614","9,613","36,200"
332,26/05/2022,Adult,Tipperary University Hospital,"2,181",910,447,343,"3,881"
333,26/05/2022,Adult,University Hospital Kerry,"4,339","2,407","1,196","1,244","9,185"
334,26/05/2022,Adult,University Hospital Limerick,"12,403","7,415","4,395","15,438","39,651"
335,26/05/2022,Adult,University Hospital Waterford,"14,225","7,845","4,127","8,763","34,959"
336,26/05/2022,Adult,Wexford General Hospital,"2,414",775,187,66,"3,441"
337,26/05/2022,Child,Beaumont Hospital,114,24,0,0,138
338,26/05/2022,Child,Cavan General Hospital,703,113,27,0,844
339,26/05/2022,Child,Children's Health Ireland,"18,750","9,048","5,356","11,874","45,028"
340,26/05/2022,Child,Cork University Hospital,"2,790","1,552",550,"1,095","5,987"
341,26/05/2022,Child,Cork University Maternity Hospital,50,15,2,0,66
342,26/05/2022,Child,Croom Orthopaedic Hospital,159,39,22,34,254
343,26/05/2022,Child,Ennis Hospital,29,8,2,2,41
344,26/05/2022,Child,Galway University Hospitals,"2,634","1,313",570,"1,257","5,774"
345,26/05/2022,Child,Letterkenny University Hospital,964,251,147,897,"2,260"
346,26/05/2022,Child,Mallow General Hospital,155,22,5,5,188
347,26/05/2022,Child,Mayo University Hospital,499,218,149,375,"1,242"
348,26/05/2022,Child,Mercy University Hospital,341,89,27,22,479
349,26/05/2022,Child,Midland Regional Hospital Mullingar,697,331,111,157,"1,296"
350,26/05/2022,Child,Midland Regional Hospital Portlaoise,591,195,79,86,951
351,26/05/2022,Child,Midland Regional Hospital Tullamore,701,361,202,477,"1,742"
352,26/05/2022,Child,National Orthopaedic Hospital Cappagh,144,50,27,5,226
353,26/05/2022,Child,Nenagh Hospital,15,3,3,2,23
354,26/05/2022,Child,Our Lady of Lourdes Hospital Drogheda,"1,720","1,236",384,127,"3,467"
355,26/05/2022,Child,Our Lady's Hospital Navan,3,2,13,19,37
356,26/05/2022,Child,Portiuncula University Hospital,504,31,18,48,601
357,26/05/2022,Child,Rotunda Hospital,34,11,0,0,45
358,26/05/2022,Child,Royal Victoria Eye and Ear Hospital,376,154,90,280,900
359,26/05/2022,Child,Sligo University Hospital,"1,098",487,209,319,"2,114"
360,26/05/2022,Child,Small Volume Hospitals,23,7,3,2,35
361,26/05/2022,Child,South Infirmary Victoria University Hospital,"1,329",433,116,258,"2,137"
362,26/05/2022,Child,St. Luke's General Hospital Kilkenny,452,27,0,0,479
363,26/05/2022,Child,Tallaght University Hospital,28,10,3,3,45
364,26/05/2022,Child,Tipperary University Hospital,306,167,17,0,490
365,26/05/2022,Child,University Hospital Kerry,538,291,96,345,"1,270"
366,26/05/2022,Child,University Hospital Limerick,"1,891",686,454,"1,775","4,806"
367,26/05/2022,Child,University Hospital Waterford,"1,480",697,304,"1,154","3,635"
368,26/05/2022,Child,Wexford General Hospital,561,74,2,0,637
369,30/06/2022,Adult,Bantry General Hospital,750,291,151,199,"1,391"
370,30/06/2022,Adult,Beaumont Hospital,"19,551","5,737",532,10,"25,829"
371,30/06/2022,Adult,Cavan General Hospital,"4,556","2,044",511,130,"7,241"
372,30/06/2022,Adult,Connolly Hospital Blanchardstown,"4,948",414,12,2,"5,376"
373,30/06/2022,Adult,Coombe Women and Infants University Hospital,"1,750",927,444,347,"3,468"
374,30/06/2022,Adult,Cork University Hospital,"13,201","6,879","3,890","9,574","33,543"
375,30/06/2022,Adult,Cork University Maternity Hospital,"1,964",735,187,66,"2,952"
376,30/06/2022,Adult,Croom Orthopaedic Hospital,"1,890","1,310",708,761,"4,669"
377,30/06/2022,Adult,Ennis Hospital,718,424,131,330,"1,603"
378,30/06/2022,Adult,Galway University Hospitals,"17,999","10,920","5,830","16,035","50,784"
379,30/06/2022,Adult,Letterkenny University Hospital,"7,444","3,502","1,545","4,247","16,738"
380,30/06/2022,Adult,Louth County Hospital,"1,729",650,404,251,"3,034"
381,30/06/2022,Adult,Mallow General Hospital,"2,045",658,384,307,"3,394"
382,30/06/2022,Adult,Mater Misericordiae University Hospital,"21,719","6,143","4,153","8,762","40,776"
383,30/06/2022,Adult,Mayo University Hospital,"4,334","2,623","1,587","2,907","11,451"
384,30/06/2022,Adult,Mercy University Hospital,"2,924","1,134",631,"2,102","6,790"
385,30/06/2022,Adult,Midland Regional Hospital Mullingar,"4,274","2,619","1,713","1,293","9,899"
386,30/06/2022,Adult,Midland Regional Hospital Portlaoise,"2,257","1,360",572,"1,190","5,379"
387,30/06/2022,Adult,Midland Regional Hospital Tullamore,"6,626","3,332","1,610","2,170","13,738"
388,30/06/2022,Adult,Naas General Hospital,"5,191","2,037",769,"1,231","9,228"
389,30/06/2022,Adult,National Maternity Hospital (Holles Street),"1,804",127,10,2,"1,943"
390,30/06/2022,Adult,National Orthopaedic Hospital Cappagh,"2,566",332,56,14,"2,968"
391,30/06/2022,Adult,Nenagh Hospital,432,252,65,121,870
392,30/06/2022,Adult,Our Lady of Lourdes Hospital Drogheda,"6,804","3,804","1,170",50,"11,827"
393,30/06/2022,Adult,Our Lady's Hospital Navan,"2,763","1,180",764,"2,210","6,917"
394,30/06/2022,Adult,Portiuncula University Hospital,"2,014",701,337,754,"3,806"
395,30/06/2022,Adult,Roscommon University Hospital,"3,221","1,193",687,"1,929","7,030"
396,30/06/2022,Adult,Rotunda Hospital,"2,157",278,4,2,"2,441"
397,30/06/2022,Adult,Royal Victoria Eye and Ear Hospital,"4,550","2,727","1,691","5,260","14,228"
398,30/06/2022,Adult,Sligo University Hospital,"6,974","3,453","1,780","3,216","15,423"
399,30/06/2022,Adult,South Infirmary Victoria University Hospital,"9,016","3,932","2,183","6,194","21,325"
400,30/06/2022,Adult,St. Columcille's Hospital,"2,428","1,579",878,"2,255","7,139"
401,30/06/2022,Adult,St. James's Hospital,"13,901","4,504","2,343","3,596","24,344"
402,30/06/2022,Adult,St. John's Hospital Limerick,774,352,223,557,"1,906"
403,30/06/2022,Adult,St. Luke's General Hospital Kilkenny,"3,255",639,102,16,"4,012"
404,30/06/2022,Adult,St. Michael's Hospital,"2,543",565,137,205,"3,450"
405,30/06/2022,Adult,St. Vincent's University Hospital,"15,052","5,418","2,012","1,588","24,069"
406,30/06/2022,Adult,Tallaght University Hospital,"13,318","9,511","4,558","9,576","36,963"
407,30/06/2022,Adult,Tipperary University Hospital,"2,104",869,444,282,"3,699"
408,30/06/2022,Adult,University Hospital Kerry,"4,575","2,284","1,281","1,092","9,232"
409,30/06/2022,Adult,University Hospital Limerick,"13,163","7,096","4,317","14,010","38,586"
410,30/06/2022,Adult,University Hospital Waterford,"14,879","7,537","3,923","7,549","33,888"
411,30/06/2022,Adult,Wexford General Hospital,"2,370",704,207,70,"3,351"
412,30/06/2022,Child,Beaumont Hospital,123,29,0,0,152
413,30/06/2022,Child,Cavan General Hospital,819,109,28,0,956
414,30/06/2022,Child,Children's Health Ireland,"19,583","9,157","5,185","10,826","44,751"
415,30/06/2022,Child,Coombe Women and Infants University Hospital,30,0,0,0,30
416,30/06/2022,Child,Cork University Hospital,"2,876","1,501",553,"1,089","6,019"
417,30/06/2022,Child,Cork University Maternity Hospital,47,14,2,0,62
418,30/06/2022,Child,Croom Orthopaedic Hospital,162,31,29,34,256
419,30/06/2022,Child,Ennis Hospital,42,7,2,3,54
420,30/06/2022,Child,Galway University Hospitals,"2,572","1,405",575,"1,264","5,816"
421,30/06/2022,Child,Letterkenny University Hospital,969,260,145,903,"2,278"
